entityName,entityType,entityCategory
SQL INJECTION,attack,concept
CSS,attack,concept
DOS ATTACK,attack,concept
THEFT,attack,concept
LAND ATTACK,attack,concept
SMURF ATTACK,attack,concept
UDP FLOOD ATTACK,attack,concept
PORT SCAN ATTACK,attack,concept
SYN FLOOD ATTACK,attack,concept
INTRUSION,attack,concept
EXODUS,attack,concept
SPYWARE,attack,concept
       ,,
